,symbol,D_OPEN,D_HIGH,D_LOW,D_MAX,D_MIN,price,PCT,D_CHANGE,D_C_MIN,D_C_MAX
171,AUDIOUSDT,0.1793,0.1815,0.1777,1.227,-0.892,0.1788,28.95,-0.279,0.619,-1.488
172,TRXUSDT,0.07748,0.0775,0.07685,0.026,-0.813,0.07707,33.85,-0.529,0.286,-0.555
173,GTCUSDT,0.929,0.952,0.912,2.476,-1.83,0.932,50.0,0.323,2.193,-2.101
174,BATUSDT,0.1895,0.1936,0.1885,2.164,-0.528,0.1917,62.75,1.161,1.698,-0.981
175,ACHUSDT,0.01899,0.01912,0.01862,0.685,-1.948,0.01877,30.0,-1.159,0.806,-1.831
176,STGUSDT,0.6429,0.6543,0.6365,1.773,-0.995,0.649,70.22,0.949,1.964,-0.81
177,SUIUSDT,0.6546,0.6698,0.6465,2.322,-1.237,0.6526,26.18,-0.306,0.944,-2.568
178,ICPUSDT,4.073,4.17,4.032,2.382,-1.007,4.126,68.12,1.301,2.331,-1.055
179,STMXUSDT,0.00417,0.00503,0.00415,20.624,-0.48,0.00445,34.09,6.715,7.229,-11.531
180,KLAYUSDT,0.164,0.1652,0.1629,0.732,-0.671,0.1636,30.43,-0.244,0.43,-0.969
181,TRUUSDT,0.03861,0.03916,0.03813,1.425,-1.243,0.03843,29.13,-0.466,0.787,-1.864
182,ADAUSDT,0.2876,0.2939,0.2873,2.191,-0.104,0.2912,59.09,1.252,1.357,-0.919
183,ROSEUSDT,0.0481,0.04898,0.04766,1.83,-0.915,0.04836,53.03,0.541,1.469,-1.266
184,NEARUSDT,1.329,1.352,1.316,1.731,-0.978,1.323,19.44,-0.451,0.532,-2.145
